,Japanese,Lao,phonetic alphabet,English
,援助,ຊ່ວຍເຫລືອ ,xuay1 hleua, help
,援助,ຄວາມຊ່ວຍເຫລືອ ,khwaam xuay1 hleua," assistance, aid"
,炎症enshoo,ອັກເສບ ,ak seep, inflammation
,エンジン,ເຄື່ອງຈັກ ,kheuang1 jak, engine
,演奏,ຫລີ້ນດົນຕີ ,hlin2 don tii, play music
,遠足,ປິກນິກ ,pik nik, picnic
,延長,ຕໍ່ເວລາ ,toh1 wee laa, extent the time
,延長,ເລື່ອນເວລາ ,leuan1 wee laa, extent the time
,エンピツ,ສໍ ,soh, pencil
,遠慮,ເກັງໃຈ ,keng jay, fearful
,遠慮,ເຕືອນ ,teuan, remind
,遠慮しないで,ບໍ່ຕ້ອງເກັງໃຈ ,boh1 tohng2 keng jay, not to be fearful
,お（～）,ຄຳນຳຫນ້າຄຳນາມ ,kham nam hnaa2 kham naam, (makes polite noun)
,甥,ຫລານຊາຍ ,hlaan xaay, nephew
,美味しい,ແຊບ ,xaep, delicious
,美味しい,ນົວ ,nua, tasty
,追う,ຕາມ ,taam, follow
,応援,ສະຫນັບສະຫນູນ ,sa nap sa hnuun," help, support"
,王様oosama,ເຈົ້າຊີວິດ ,jao2 xii wit, the king
,応接室,ຫ້ອງພັກລໍ ,hhohng2 phak loh, waiting room
,横断歩道,ທາງມ້າລາຍ ,thaang maa2 laay, crossing
,往復,ໄປກັບ ,pai kap, make round trip
,往復切符oofuku,ປີ້ໄປກັບ ,pii2 pai kap, return ticket
,応用,ນຳໃຊ້ ,nam xay2, apply、use practically
,終える,ເລີກ ,lerk," stop, finish"
,多い,ຫລາຍ ,hlaay, many
,覆う,ປົກຄຸມ ,pok khum, cover
,大きい,ໃຫຍ່ ,hyay1, big
,大きさookisa,ຂະຫນາດ ,hka hnaat, size
,オーストラリア,ອົດສະຕາລີ ,ot sa taa lii, Australia
,大勢oozei,ຄົນຫລາຍ ,khon hlaay, many people
,オートバイootobai,ລົດຈັກ ,lot jak, motorbike
,オーバーコート,ເສື້ອກັນຫນາວ ,seua2 kan hnaaw, overcoat
,丘,ເນີນພູ ,nern phuu, hill
,丘,ໂພນ ,phoon, mound
,おかげ様で,ຂອບໃຈທີ່ໃຫ້ການຊ່ວຍເຫລືອ ,hkohp jay thii1 hhay2 kaan xuay1 hleua, thanks to
,おかしいoakashii,ແປກໃຈ ,paek jay, strange
,おかしいoakashii,ມ່ວນ ,muan1, funny
,おかず,ຂອງກິນ ,hkohng kin, meal
,お金,ເງີນ ,ngern, money
,拝む,ໄຫວ້ ,hhwai2, pray
,お粥,ເຂົ້າປຽກ ,hkao2 piak, rice soup
,小川ogawa,ສາຍນ້ຳ ,saay nam2, stream
,小川ogawa,ຫ້ວຍນ້ຳ ,hhuay2 nam2, stream
,おかわりokawari,ເອົາອີກ ,ao iik, one more
,悪寒,ເປັນໄຂ້ ,pen hkai2, sick
,起きるokiru,ຕື່ນນອນ ,teun1 nohn, get up
,起きるokiru,ຕື່ນນອນ ,teun1 nohn , awake
,起きるokiru,ລຸກຂື້ນ ,luk hkeun2, stand up
,置く,ຕັ້ງ ,tang2, set up
,奥,ພື້ນສຸດ ,pheun2 sut," bottom, end"
,置く,ວາງ ,waang, place
,置く,ວາງໄວ້ ,waang wai2, place
,置く,ໄວ້ ,wai2," keep, put "
,置く,ເອົາໄວ້ ,ao wai2," keep, put"
,送る,ສົ່ງ ,song1, send
,贈る,ໃຫ້ເປັນຂອງຂັວນ ,hhay2 pen hkohng hkua'n, give as a present
,遅れる,ຊ້າ ,xaa2, slow
,起こす,ປຸກ ,puk, wake up 
,行い,ການເຄື່ອນໃຫວ ,kaan kheuan1 hhway," action, movement"
,行う,ເຮັດ ,het, do
,怒る,ຄຽດ ,khiat, angry with
,怒る,ຮ້າຍ ,haay2, angry 
,おごる,ລ້ຽງ ,liang2, feed
,押さえる,ຍືດ ,nyeut, occupy
,お先に,ໄປກ່ອນເດີ້ ,pai kohn1 der2, good bye
,収めるosameru,ມ້ຽນ ,mian2, store
,叔父,ນ້າບ່າວ ,naa2 baaw1, uncle
,伯父,ລຸງ ,lung, uncle
,叔父,ອາວ ,aaw, uncle
,惜しいoshii,ເສຍດາຍ ,seey daay, unfortunately
,教えるoshieru,ສັ່ງສອນ ,sang1 sohn, teach
,教える,ສອນ ,sohn, teach
,お辞儀,ໂຄ້ງຕົວ ,khoong2 tua, make a polite bow
,押し付ける,ຈຳໃຫ້ ,jam hhay2, force
,おしっこ,ຍ່ຽວ ,nyiaw1, urine
,おしぼりo,ຜ້າເຢັນ ,hpaa2 yen, cold towel
,おしゃべり,ລົມກັນ ,lom kan, talk
,おしゃれ,ແຕ່ງໂຕງາມ ,taeng1 too ngaam, beautiful dressing
,お尻,ກົ້ນ ,kon2, hip
,押す,ກົດ ,kot, press
,オス,ໂຕຜູ້ ,too hpuu2, male
,遅い,ຊ້າ ,xaa2, slow
,恐れるosoreru,ຢ້ານ ,yaan2, be afraid
,お大事に,ດູແລຕົວເອງເດີ້ ,duu lae tua eeng der2, take care please
,落ち着くochitsuku,ປັກຫລັກ ,pak hlak, settle down
,お茶の葉,ໃບຊາ ,bay xaa, tea leaf
,お茶,ຊາ ,xaa, tea
,落ちる,ຂຸລົງ ,hku long, fall
,落ちる,ຕົກ ,tok, fall down
,落ちるochiru,ຕົກລົງ ,tohk long, fall
,おちんちん,ໂຄຍ ,khooy, penis
,夫,ສາມີ ,saa mii, husband
,夫,ຜົວ ,hpua, husband
,おつりotsuri,ເງີນທອນ ,ngern thohn, small change
,音,ສຽງ ,siang, noise
,弟otooto,ນ້ອງຊາຍ ,nohng2 xaay, younger brother
,男,ຜູ້ຊາຍ ,hpuu2 xaay, man
,男の子otoko,ເດັກຊາຍ ,dek xaay, boy
,落し物,ຂອງເຮ່ຍ ,hkohng heey1, dropped things
,落とす,ເຮັດຕົກ ,het tok, drop down
,訪れるotozureru,ໄປຢ້ຽມ ,pai yiam2, visit
,おととい,ມ່ວນຊື່ນ ,muan1 xeun1, before yesterday
,大人otona,ຜູ້ໃຫຍ່ ,hpuu2 hyay1, adult
,おとなしい,ໃຈອ່ອນ ,jay ohn1, sensitive
,劣る,ບໍ່ດີທີ່ສຸດ ,boh1 dii thii1 sut," be worse, less good"
,踊る,ເຕັ້ນ ,ten2, dance
,おどろくodoroku,ຕົກໃຈ ,tok jay, get frightened
,お腹,ຫນ້າທ້ອງ ,hnaa2 thohng2," stomach, belly"
,同じ,ຄືກັນ ,kheu kan, the same
,同じ,ເທົ່າກັນ ,thao1 kan, the same
,おなら,ຕົດ ,tot, fart
,お願いします,ກະລຸນາ ,ka lu naa, please 
,叔母,ນ້າສາວ ,naa2 saaw, aunt
,叔母,ນ້າບ່າວ ,naa2 baaw1, aunt
,伯母,ປ້າ ,paa2, aunt
,叔母,ອາ ,aa, aunt
,お化け,ຜີ ,hpii, ghost
,おはよう,ສະບາຍດີ (ຕອນເຊົ້າ) ,sa baay dii, good morning
,覚えて,ຈື່ໄດ້ ,jeu1 dai2, remember 
,覚えていない,ຈື່ບໍ່ໄດ້ ,jeu1 boh1 dai2, forget
,覚えるoboeru,ຈື່ຈຳ ,jeu1 jam, put in a memory
,お盆obon,ພາເຂົ້າ ,phaa hkao2, tray for meal
,おまえ,ໂຕ ,too, you
,おまえ,ມຶງ ,mueng, you 
,お守りomamori,ສະເຫນ່ ,sa hnee1, charm
,お巡りさん,ຕຳຫລວດ ,tam hluat, policeman
,おみくじomikuji,ຊ່ຽງຊີ ,xiang1 xii, written oracle
,お召し上がりください,ເຊີນແຊບ ,xern xaep, please enjoy food
,主,ສ່ວນສຳຄັນ ,suan1 sam khan, main part
,重い,ຫນັກ ,hnak, heavy
,思い出す,ຄິດຮອດ ,khit hoht, think of
,思い出す,ນຶກອອກ ,nuek ohk, express idea
,思い出せない,ບໍ່ຈື່ ,boh1 jeu1, forget
,思い出omoide,ອະດີດ ,a diit, remembrance
,思う,ຄິດ ,khit, think
,思う,ນຶກ ,nuek, think
,重さomosa,ນ້ຳຫນັກ ,nam2 hnak, weight
,重さomosa,ນ້ຳຫນັກ ,nam2 hnak, weight
,おもしろいomoshiroi,ມ່ວນ ,muan1," funny, fun"
,おもちゃ,ຂອງຫລີ້ນ ,hkohng hliin2, toy
,表,ຫນ້າ ,hnaa2, face
,主なomona,ສ່ວນໃຫຍ່ ,suan1 hyay1, main part
,主にomo,ສ່ວນຫລາຍ ,suan1 hlaay, mainly
,親,ພໍ່ແມ່ ,phoh1 mae1, parent
,親孝行,ກະຕັນຍູ ,ka tan nyuu, filial piety
,おやすみなさい,ລາຕີສຸກສັນ ,laa tii suk san, good night
,おやつ,ອາຫານວ່າງ ,aa hhaan waang1, snack
,親指,ໂປ້ມື ,poo2 meu, thumb
,泳ぐoyogu,ລອຍນ້ຳ ,lohy nam2, swim
,およそoyoso,ປະມານ ,pa maan, about
,オランダ,ຮອນແລນ ,hohn laen, Holland
,織物orimono,ຜ້າຕ່ຳ ,hpaa2 tam1, textile cloth
,降りる,ລົງ ,long, go down
,織る,ຕ່ຳຫູກ ,tam1 hhuuk, weave cloth
,折る,ຫັກ ,hhak, broken
,俺,ກູ ,kuu, I
,折れるoreru,ຫັກອອກເປັນສອງຕ່ອນ ,hhak ohk pen sohng tohn1, be broken into two
,オレンジ,ຫມາກກ້ຽງ ,hmaak kiang2, orange
,愚か,ໂງ່ ,ngoo1, stupid
,下ろす,ເອົາລົງ ,ao long, take down
,終りowari,ສຸດທ້າຍ ,sut thaay2, end
,終わる,ຈົບ ,jop, finish
,終わるowaru,ສຳເລັດ ,sam let, finish
,恩,ບຸນຄຸນ ,bun khun, kindness done
,音楽,ດົນຕີ ,don tii, music
,恩知らず,ບໍ່ຮູ້ບຸນຄຸນ ,boh1 huu2 bun khun, ungrateful person
,恩人,ຜູ້ມີບຸນຄຸນ ,hpuu2 mii bun khun, benefactor
,温泉,ບໍ່ນ້ຳຮ້ອນ ,boh1 nam2 hohn2, hot spring
,温度,ອົງສາ ,ong saa, degree
,女,ຜູ້ຍິງ ,hpuu2 nying, woman
,女の子,ເດັກຜູ້ຍິງ ,dek hpuu2 nying, girl
,音符ompu,ໂນດເພັງ ,noot pheng, note
,（～）か,ໂອ້ແມ່ນແລ້ວ ,oo2 maen1 laew2, oh I see
,蚊,ຍຸງ ,nyung, mosquito
,（～）か,ບໍ ,boh, (makes an interrogative)
,（～）か,ຫລືວ່າ ,hleu waa1, or
,母さん,ແມ່ ,mae1, mother
,カーテン,ຜ້າກັ້ງ ,hpaa2 kang2, curtain
,カード,ບັດ ,bat, card
,カード,ໄພ້ ,phai2, playing card
,ガード,ຍາມ ,nyaam, guard
,カーネーションkaaneeshon,ດອກຄາເນຊັນ ,dohk khaa nee xan, carnation
,（～）会,ງານ ,ngaan, meeting
,（～）階,ຊັ້ນທີ ,xan2 thii, ~th floor
,（～）回,ເທື່ອ ,theua1, ~ times 
,（～）会,ບາເຫລົ້າ ,baa hlao2, ~ club
,会,ລວມວຽກ ,luam wiak, meeting
,貝,ຫອຍ ,hhohy, shell fish
,害,ການເຮັດໃຫ້ເສຍຫາຍ ,kaan het hhay2 seey hhaay, harm
,会員kaiin,ສະມາຊິກ ,sa maa xik, member
,会員証,ບັດສະມາຊິກ ,bat sa maa xik, member card
,外貨,ເງີນຕາຕ່າງປະເທດ ,ngern taa taang1 pa theet, foreign currency
,海外,ຕ່າງປະເທດ ,taang1 pa theet, foreign country
,海岸,ຝັ່ງທະເລ ,hfang1 tha lee, coast
,会議,ປະຊຸມ ,pa xum, meeting
,階級kaikyuu,ຖານະ ,htaa na , rank
,海軍,ທະຫານເຮືອ ,tha hhaan heua, navy
,会計kaikei,ການເງີນ ,kaan ngern , finance
,解決,ແກ້ໄຂ ,kae2 hkai, resolve 
,外交,ສາຍພົວພັນລະຫວ່າງປະເທດ ,saay phua phan la hhwaang1 pa theet, foreign relation
,外国,ຕ່າງປະເທດ ,taang1 pa theet, foreign
,外国人,ຄົນຕ່າງປະເທດ ,khon taang1 pa theet, foreigner
,外国製gaikoku,ເຄື່ອງຕ່າງປະເທດ ,kheuang1 taang1 pa theet, foreign products
,改札口,ປະຕູທາງເຂົ້າ ,pa tuu thaang hkao2, entrance door
,解散,ເລີກ ,lerk, dismiss
,会社kaisha,ບໍລິສັດ ,boh li sat, company
,会社員,ພະນັກງານບໍລິສັດ ,pha nak ngaan boh li sat, company staff
,階段,ຂັ້ນບັນໄດ ,hkan2 ban dai, staircase
,怪談kaidan,ເລື່ອງຜີ ,leuang1 hpii, ghost story
,懐中電灯,ໄຟສາຍ ,fai saay, sport light
,開店,ເປີດຮ້ານ ,pert haan2, open shop
,ガイド,ຜູ້ນຳທ່ຽວ ,hpuu2 nam thiaw1, guide
,解答,ຕອບ ,tohp, answer 
,解答用紙,ຟອມຄຳຕອບ ,fohm kham tohp, answer sheet
,ガイドブックgaido,ປື້ມຄູ່ມືນຳທ່ຽວ ,peum2 khuu1 meu nam thiaw1, guide book
,回復,ຟື້ນໄຂ້ ,feun2 hkai2, get well
,解放,ປົດປ່ອຍ ,pot pohy1," free, liberate"
,開放,ເປີດ ,pert, open
,買い物,ຊື້ເຄື່ອງ ,xeu2 kheuang1, shop
,潰瘍,ບາດ ,baat, wound
,改良,ປັບປຸງ ,pap pung, improve
,会話,ສົນທະນາ ,son tha naa, conversation
,買う,ຊື້ ,xeu2, buy
,飼う,ລ້ຽງ ,liang2, feed 
,返す,ຄືນ ,kheun, give back
,返すkaesu,ສົ່ງຄືນ ,song1 kheun, give back
,帰るkaeru,ກັບເມືອ ,kap meua, return
,カエル,ກົບ ,kop, frog
,カエル,ຂຽດ ,hkiat, frog
,変える,ປ່ຽນ ,pian1, change
,帰る,ເມືອ ,meua, go back
,顔,ມີຫນ້າມີຕາ ,mii hnaa2 mii taa, honorable
,顔,ຫນ້າ ,hnaa2, face
,顔立ちkaodachi,ຫນ້າຕາ ,hnaa2 taa, physiognomy 
,香り,ກິ່ນ ,kin1, smell
,科学,ວິທະຍາສາດ ,wi tha nyaa saat, science
,化学kagaku,ເຄມີສາດ ,khee mii saat, chemistry 
,かかと,ຕີນ ,tiin, foot
,鏡,ແວ່ນ ,waen1, mirror
,輝く,ແສງ ,saeng, shine
,係,ຜູ້ຮັບຜິດຊອບ ,hpuu2 hap hpit xohp, person in charge of
,書き留めるkakitomeru,ຈົດ ,jot, take note 
,カギ,ໃສ່ກະແຈ ,say1 ka jae, lock
,カギ,ກະແຈ ,ka jae, key
,かき混ぜるkaki,ຄົນ ,khon, mix
,かき混ぜるkaki,ປະສົມ ,pa som, mix
,限るkagiru,ກຳນົດເກນ ,kam not keen, set a limit
,欠く,ຂາດ ,hkaat, lack
,書く,ຂຽນ ,hkian, write
,嗅ぐ,ດົມ ,dom, smell ໂດລາ 
,覚悟,ກຽມພ້ອມ ,kiam phohm2, get ready
,確実,ແນ່ນອນ ,nae1 nohn, sure
,学習,ການຮຽນຮູ້ ,kaan hian huu2, studying
,確信,ຫມັ້ນໃຈ ,hman2 jay, reliable
,隠す,ປິດບັງ ,pit bang, hide
,学生gakusei,ນັກສຶກສາ ,nak suek saa, student
,学生gakusei,ນັກຮຽນ ,nak hian, student
,学部gakubu,ພະແນກ ,pha naek, department
,革命kakumei,ປະຕິວັດ ,pa ti wat, revolution
,学問gakumon,ການຮຽນ ,kaan hian, learning
,隠れる,ລີ້ ,lii2, hide
,影,ເງົາ ,ngao, shade
,駆け足,ແລ່ນ ,laen1, run
,影絵,ຮູບສະແດງເງົາໃນຜ້າມ້ານ ,huup sa daeng ngao nay hpaa2 maan2, silhouette
,賭け事,ການພະນັນ ,kaan pha nan, gamble
,掛け算kake,ເລກຄູນ ,leek khuun, multiplication
,（～）か月,ເດືອນ ,deuan, ~ monthｓ
,（～）か月間(～),ເດືອນ ,deuan, ~ monthｓ
,かけっこkake¿ko,ແລ່ນ ,laen1, run race
,欠ける,ຂາດ ,hkaat, lack
,かける（×）kakeru,ຄູນ ,khuun, multiply
,賭けるkakeru,ພະນັນ ,pha nan, gamble
,駆ける,ແລ່ນ ,laen1, run
,掛ける,ຫ້ອຍ ,hhohy2, hang
,加減,ປັບ ,pap, adjust
,過去,ອະດີດ ,a diit," former, past"
,カゴ,ກະຕ່າ ,ka taa1, basket
,囲む,ອ້ອມ ,ohm2, surround
,傘,ຄັນຮົ່ມ ,khan hom1, umbrella
,重なる,ຢອງຂື້ນ ,yohng hkeun2, be piled up
,重ねる,ຢອງຂື້ນ ,yohng hkeun2, pile up
,飾りkazari,ຕົກແຕ່ງ ,tok taeng1, decoration
,飾る,ແຕ່ງ ,taeng1, decorate
,火山kazan,ພູເຂົາໄຟ ,phuu hkao fai, volcano
,菓子kashi,ເຂົ້າຫນົມ ,hkao2 hnom, biscuit
,歌詞kashi,ເນື້ອເພັງ ,neua2 pheng, lyrics
,火事,ໄຟໄຫມ້ ,fai hmai2, fire
,家事kaji,ວຽກເຮືອນ ,wiak heuan, homework
,かしこいkashikoi,ສະຫລາດ ,sa hlaat, clever
,貸してください,ຂໍຢືມ~ແດ່ ,hkoh yeum ~ dae1, may I borrow
,カジノkajino,ຄາຊີໂນ ,khaa xii noo, casino
,貸家,ເຮືອນໃຫ້ເຊົ່າ ,heuan hay2 xao1, house for rent
,菓子屋,ຮ້ານຂາຍຂະຫນົມ ,haan2 hkaay hka hnom, sweet shop
,歌手kashu,ນັກຮ້ອງ ,nak hohng2, singer
,果樹園,ສວນຫມາກໄມ້ ,suan hmaak mai2, fruit farm
,（～）箇所,ບ່ອນ ,bohn1, ~ place
,（～）箇所,ແຫ່ງ ,hhaeng1, ~ place
,貸す,ໃຫ້ເຊົ່າ ,hhay2 xao1, for rent
,数,ຈຳນວນ ,jam nuan, quantity
,ガス,ແກັດ ,ke't, gas
,微か,ນ້ອຍໆ ,nohy2#, slight
,ガスコンロ,ເຕົາແກັດ ,tao ke't, gas stove
,カスタネット,ແຊ່ງ ,xaeng1, castanet
,風邪,ເປັນຫວັດ ,pen hhwat, have a cold
,風,ລົມ ,lom, wild
,風邪,ຫວັດ ,hhwat, cold
,風邪薬,ຢາແກ້ໄຂ້ ,yaa kae2 hkai2, cold medicine
,カセットテープ,ກະແຊັດ ,ka xe't, cassette
,数える,ນັບ ,nap, count
,家族kazoku,ຄອບຄົວ ,khohp khua, family
,ガソリンgasorin,ແອັດຊັງ ,e't xang, gasoline
,ガソリンスタンド,ປ້ຳນ້ຳມັນ ,pam2 nam2 man, gas station
,型,ຊະນິດ ,xa nit, type
,肩,ບ່າ ,baa1, shoulder
,硬い,ແຂງ ,hkaeng, hard
,カタカナ,ກາຕາການະ ,kaa taa kaa na, katakana
,形katachi,ຮູບແບບ ,huup baep, forms
,片付ける,ເກັບມ້ຽນ ,kep mian2, keep it
,片付けるkatazukeru,ມ້ຽນ ,mian2, keep
,塊,ກ້ອນ ,kohn2, mass
,固まる,ກາຍເປັນແຂງ ,kaay pen hkaeng, become hard
,片道katamichi,ຖ້ຽວດຽວ ,htiaw2 diaw, one way
,片道切符katamichi,ປີ້ຖ້ຽວດຽວ ,pii2 htiaw2 diaw, one way ticket
,傾き,ລະດັບຄວາມເນີ້ງ ,la dap khwaam nerng2, slant
,傾くkatamuku,ເນີ້ງ ,nerng2, lean
,傾くkatamuku,ອຽງ ,iang , lean
,固める,ເຮັດໃຫ້ຍາກ ,het hhay2 nyaak, make (n) hard
,語るkataru,ບອກເລົ່າ ,bohk lao1, tell
,花壇,ຖາດດອກໄມ້ ,htaat dohk mai2, flower bed
,価値,ມີຄ່າ ,mii khaa1, valuable
,価値,ຄ່າ ,khaa1, value 
,家畜kachiku,ສັດລ້ຽງ ,sat liang2, pets
,勝つ,ຊະນະ ,xa na , win
,（～）月,ເດືອນ ,deuan, ~ month
,楽器,ເຄື່ອງດົນຕີ ,kheuang1 don tii, instrument
,学期,ສົກຮຽນ ,sok hian, semester 
,学級活動,ກິດຈະກຳໃນຫ້ອງຮຽນ ,kit ja kam nay hhohng2  hian, classroom activities 
,格好いいka¿ko,ຄັກ ,khak, nice
,括弧,ວົງເລັບ ,wong lep, brackets
,学校ga¿koo,ໂຮງຮຽນ ,hoong hian, school
,合唱,ຮ້ອງເພັງປະສານສຽງ ,hohng2 pheng pa saan siang, chorus
,勝手,ເຫັນແກ່ໂຕ ,hen kae1 too, selfish
,活発,ກະຕືລືລົ້ນ ,ka teu leu lon2, active
,仮定,ສົມມຸດວ່າ ,som mut waa1, suppose
,家庭katei,ຄອບຄົວ ,khohp khua, family 
,家庭科,ວຽກບ້ານ ,wiak baan2, home job lesson
,家庭訪問,ການຢ້ຽມຢາມຄອບຄົວຂອງນາຍຄູ ,kaan yiam2 yaam khohp khua hkohng naay khuu, teacher's visit
,角,ມຸມນອກ ,mum nohk, corner
,蚊取り線香,ຢາກັນຍຸງ ,yaa kan nyung, mosquito killer
